구분,자동차용경유
2020년07월09일,1162.83
2020년07월10일,1162.92
2020년07월11일,1163.23
2020년07월12일,1163.15
2020년07월13일,1163.34
2020년07월14일,1163.45
2020년07월15일,1163.56
2020년07월16일,1163.62
2020년07월17일,1163.74
2020년07월18일,1163.67
2020년07월19일,1163.62
2020년07월20일,1163.65
2020년07월21일,1163.60
2020년07월22일,1163.52
2020년07월23일,1163.45
2020년07월24일,1163.46
2020년07월25일,1163.49
2020년07월26일,1163.48
2020년07월27일,1163.49
2020년07월28일,1163.47
2020년07월29일,1163.46
2020년07월30일,1163.42
2020년07월31일,1163.34
2020년08월01일,1163.69
2020년08월02일,1163.67
2020년08월03일,1163.89
2020년08월04일,1163.76
2020년08월05일,1163.68
2020년08월06일,1163.59
2020년08월07일,1163.51
2020년08월08일,1163.49
2020년08월09일,1163.42
2020년08월10일,1163.48
2020년08월11일,1163.48
2020년08월12일,1163.43
2020년08월13일,1163.51
2020년08월14일,1163.52
2020년08월15일,1163.69
2020년08월16일,1163.68
2020년08월17일,1163.63
2020년08월18일,1163.70
2020년08월19일,1163.76
2020년08월20일,1163.83
2020년08월21일,1163.83
2020년08월22일,1163.73
2020년08월23일,1163.63
2020년08월24일,1163.76
2020년08월25일,1163.62
2020년08월26일,1163.53
2020년08월27일,1163.41
2020년08월28일,1163.27
2020년08월29일,1163.14
2020년08월30일,1163.18
2020년08월31일,1163.09
2020년09월01일,1162.88
2020년09월02일,1162.66
2020년09월03일,1162.68
2020년09월04일,1162.50
2020년09월05일,1162.37
2020년09월06일,1162.24
2020년09월07일,1161.95
2020년09월08일,1161.52
2020년09월09일,1160.62
2020년09월10일,1159.74
2020년09월11일,1158.86
2020년09월12일,1158.20
2020년09월13일,1157.92
2020년09월14일,1157.37
2020년09월15일,1156.25
2020년09월16일,1154.73
2020년09월17일,1153.43
2020년09월18일,1152.26
2020년09월19일,1151.47
2020년09월20일,1151.10
2020년09월21일,1150.44
2020년09월22일,1149.22
2020년09월23일,1148.08
2020년09월24일,1146.98
2020년09월25일,1146.23
